city,location,locality_type,BHK,bathroom,balcony,total_sqft,furnishing,parking,price
bangalore,kengeri,built-up  area,1.0,1.0,1.0,600.0,semi-furnished,2.0,1500000.0
bangalore,ganga nagar,super built-up  area,1.0,1.0,0.0,600.0,semi-furnished,2.0,3800000.0
bangalore,yelahanka,plot  area,1.0,1.0,0.0,660.0,semi-furnished,0.0,4800000.0
bangalore,attibele,super built-up  area,1.0,1.0,1.0,450.0,semi-furnished,4.0,1100000.0
bangalore,nagavara,plot  area,1.0,1.0,0.0,400.0,semi-furnished,0.0,1400000.0
bangalore,malleshwaram,super built-up  area,1.0,1.0,2.0,705.0,semi-furnished,1.0,6700000.0
bangalore,electronic city,super built-up  area,1.0,1.0,1.0,589.0,furnished,4.0,2700000.0
bangalore,chandapura,super built-up  area,1.0,1.0,1.0,645.0,furnished,4.0,1645000.0
bangalore,chandapura,super built-up  area,1.0,1.0,1.0,645.0,semi-furnished,5.0,1645000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,1.0,525.0,semi-furnished,3.0,2600000.0
bangalore,kanakpura road,super built-up  area,1.0,2.0,2.0,525.0,semi-furnished,0.0,2153000.0
bangalore,electronic city phase ii,super built-up  area,1.0,1.0,1.0,630.0,semi-furnished,2.0,2835000.0
bangalore,bannerghatta road,built-up  area,1.0,1.0,1.0,500.0,semi-furnished,0.0,1850000.0
bangalore,chandapura,super built-up  area,1.0,1.0,0.0,530.0,semi-furnished,4.0,1166000.0
bangalore,8th phase jp nagar,super built-up  area,1.0,1.0,0.0,451.0,semi-furnished,2.0,2990000.0
bangalore,kengeri,super built-up  area,1.0,1.0,0.0,1275.0,semi-furnished,0.0,1850000.0
bangalore,electronic city,built-up  area,1.0,1.0,1.0,630.0,semi-furnished,4.0,3465000.0
bangalore,shampura,built-up  area,1.0,2.0,0.0,375.0,unfurnished,3.0,2600000.0
bangalore,medahalli,built-up  area,1.0,1.0,0.0,700.0,unfurnished,5.0,4100000.0
bangalore,ittamadu,built-up  area,1.0,2.0,0.0,1200.0,semi-furnished,0.0,8500000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,1.0,525.0,furnished,2.0,2725000.0
bangalore,bannerghatta road,super built-up  area,1.0,1.0,1.0,595.0,furnished,1.0,3332000.0
bangalore,byatarayanapura,built-up  area,1.0,1.0,1.0,540.0,furnished,5.0,3600000.0
bangalore,hormavu,super built-up  area,1.0,1.0,2.0,715.0,semi-furnished,4.0,4600000.0
bangalore,venkatapura,super built-up  area,1.0,1.0,1.0,416.0,unfurnished,1.0,1850000.0
bangalore,hosapalya,super built-up  area,1.0,1.0,0.0,600.0,semi-furnished,4.0,9000000.0
bangalore,ashwini layout,built-up  area,1.0,1.0,1.0,834.0,semi-furnished,3.0,6000000.0
bangalore,kanakapura,super built-up  area,1.0,1.0,1.0,711.0,semi-furnished,2.0,3600000.0
bangalore,jalahalli west,super built-up  area,1.0,1.0,0.0,469.0,unfurnished,5.0,2500000.0
bangalore,jalahalli east,super built-up  area,1.0,1.0,2.0,750.0,furnished,0.0,4000000.0
bangalore,sulthangunta,plot  area,1.0,1.0,0.0,600.0,unfurnished,1.0,5000000.0
bangalore,p&t colony,built-up  area,1.0,1.0,0.0,425.0,semi-furnished,4.0,2003000.0
bangalore,chelekare,plot  area,1.0,1.0,1.0,600.0,semi-furnished,0.0,6000000.0
bangalore,yeshwanthpur,super built-up  area,1.0,1.0,1.0,667.0,unfurnished,3.0,3685000.0
bangalore,basavanagara,built-up  area,1.0,2.0,1.0,1275.0,semi-furnished,5.0,9300000.0
bangalore,yelahanka new town,built-up  area,1.0,1.0,2.0,650.0,semi-furnished,4.0,3300000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,1.0,525.0,semi-furnished,0.0,3000000.0
bangalore,electronic city phase ii,super built-up  area,1.0,1.0,1.0,630.0,furnished,4.0,4000000.0
bangalore,chandapura,super built-up  area,1.0,1.0,0.0,582.5,semi-furnished,2.0,1513500.0
bangalore,varthur,plot  area,1.0,1.0,1.0,1000.0,unfurnished,2.0,7000000.0
bangalore,kengeri satellite town,super built-up  area,1.0,1.0,1.0,930.0,semi-furnished,4.0,3000000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,1.0,525.0,furnished,3.0,2600000.0
bangalore,bagur,super built-up  area,1.0,1.0,1.0,686.0,semi-furnished,4.0,1700000.0
bangalore,byatarayanapura,super built-up  area,1.0,1.0,0.0,1300.0,semi-furnished,1.0,20000000.0
bangalore,attibele,built-up  area,1.0,1.0,1.0,400.0,semi-furnished,3.0,1100000.0
bangalore,kammasandra,super built-up  area,1.0,1.0,0.0,657.5,semi-furnished,0.0,1841000.0
bangalore,alur,built-up  area,1.0,1.0,1.0,530.0,semi-furnished,1.0,2000000.0
bangalore,sarjapur,super built-up  area,1.0,1.0,0.0,649.5,semi-furnished,1.0,1753500.0
bangalore,yeshwanthpur,super built-up  area,1.0,1.0,1.0,665.0,semi-furnished,4.0,3685000.0
bangalore,chikkabanavar,plot  area,1.0,1.0,0.0,1200.0,semi-furnished,5.0,2000000.0
bangalore,raja rajeshwari nagar,super built-up  area,1.0,1.0,1.0,600.0,semi-furnished,0.0,2200000.0
bangalore,attibele,built-up  area,1.0,1.0,1.0,400.0,semi-furnished,5.0,1200000.0
bangalore,marathi layout,plot  area,1.0,1.0,0.0,1275.0,unfurnished,0.0,11000000.0
bangalore,kr layout,super built-up  area,1.0,1.0,1.0,950.0,semi-furnished,5.0,4000000.0
bangalore,kanakapura,super built-up  area,1.0,1.0,1.0,711.0,furnished,1.0,3800000.0
bangalore,ananth nagar,super built-up  area,1.0,1.0,1.0,500.0,semi-furnished,4.0,1400000.0
bangalore,kacharakanahalli,plot  area,1.0,1.0,0.0,750.0,furnished,0.0,5625000.0
bangalore,kaggalipura,super built-up  area,1.0,1.0,0.0,700.0,semi-furnished,4.0,3800000.0
bangalore,yelahanka,super built-up  area,1.0,1.0,0.0,697.0,semi-furnished,4.0,4500000.0
bangalore,sarjapur  road,built-up  area,1.0,1.0,1.0,710.0,semi-furnished,1.0,2700000.0
bangalore,cooke town,built-up  area,1.0,1.0,1.0,565.0,furnished,0.0,3500000.0
bangalore,chokkanahalli,plot  area,1.0,1.0,1.0,1200.0,unfurnished,4.0,2800000.0
bangalore,yelahanka new town,super built-up  area,1.0,1.0,1.0,500.0,unfurnished,5.0,2000000.0
bangalore,makali,super built-up  area,1.0,1.0,1.0,485.0,unfurnished,5.0,1500000.0
bangalore,raja rajeshwari nagar,super built-up  area,1.0,1.0,1.0,500.0,semi-furnished,2.0,2500000.0
bangalore,electronics city phase 1,super built-up  area,1.0,1.0,1.0,630.0,semi-furnished,5.0,3900000.0
bangalore,binny pete,super built-up  area,1.0,1.0,0.0,665.0,unfurnished,0.0,5075000.0
bangalore,rachenahalli,super built-up  area,1.0,1.0,1.0,680.0,furnished,1.0,4400000.0
bangalore,electronics city phase 1,carpet  area,1.0,1.0,1.0,785.0,unfurnished,2.0,5500000.0
bangalore,yelahanka new town,super built-up  area,1.0,1.0,1.0,440.0,semi-furnished,5.0,1650000.0
bangalore,9th block jayanagar,plot  area,1.0,1.0,0.0,700.0,semi-furnished,5.0,15000000.0
bangalore,kodichikkanahalli,super built-up  area,1.0,1.0,2.0,650.0,semi-furnished,3.0,3800000.0
bangalore,budigere,super built-up  area,1.0,1.0,1.0,764.0,furnished,5.0,3200000.0
bangalore,kengeri,built-up  area,1.0,1.0,1.0,340.0,semi-furnished,2.0,1000000.0
bangalore,yelahanka,super built-up  area,1.0,1.0,1.0,628.0,furnished,2.0,2400000.0
bangalore,attibele,built-up  area,1.0,1.0,1.0,400.0,semi-furnished,5.0,1400000.0
bangalore,sarjapur  road,super built-up  area,1.0,1.0,0.0,615.0,semi-furnished,1.0,1783500.0
bangalore,bommanahalli,super built-up  area,1.0,1.0,0.0,520.0,semi-furnished,5.0,1950000.0
bangalore,kanakapura,super built-up  area,1.0,1.0,1.0,551.0,semi-furnished,0.0,3000000.0
bangalore,attibele,super built-up  area,1.0,1.0,1.0,500.0,semi-furnished,5.0,1700000.0
bangalore,yelahanka,super built-up  area,1.0,1.0,1.0,654.0,unfurnished,0.0,3840000.0
bangalore,whitefield,super built-up  area,1.0,2.0,2.0,665.0,semi-furnished,0.0,2858500.0
bangalore,venkatadri layout,built-up  area,1.0,1.0,1.0,595.0,semi-furnished,3.0,4200000.0
bangalore,ramagondanahalli,plot  area,1.0,1.0,0.0,540.0,semi-furnished,2.0,3000000.0
bangalore,thanisandra,super built-up  area,1.0,2.0,2.0,776.5,semi-furnished,5.0,4814500.0
bangalore,anekal,super built-up  area,1.0,1.0,1.0,600.0,semi-furnished,5.0,1650000.0
bangalore,laggere,super built-up  area,1.0,1.0,1.0,1200.0,semi-furnished,3.0,4800000.0
bangalore,jp nagar,super built-up  area,1.0,1.0,1.0,1050.0,semi-furnished,4.0,4400000.0
bangalore,nagarbhavi,super built-up  area,1.0,2.0,2.0,884.0,semi-furnished,4.0,3600000.0
bangalore,domlur,built-up  area,1.0,1.0,0.0,640.0,semi-furnished,4.0,5500000.0
bangalore,shettigere,super built-up  area,1.0,1.0,1.0,650.0,semi-furnished,0.0,2600000.0
bangalore,arekere,built-up  area,1.0,1.0,1.0,600.0,semi-furnished,2.0,2800000.0
bangalore,hulimavu,super built-up  area,1.0,1.0,2.0,688.0,furnished,1.0,5000000.0
bangalore,malleshwaram,super built-up  area,1.0,1.0,1.0,686.0,unfurnished,0.0,6250000.0
bangalore,anekal,super built-up  area,1.0,1.0,1.0,530.0,semi-furnished,2.0,1800000.0
bangalore,ananth nagar,super built-up  area,1.0,2.0,2.0,500.0,semi-furnished,0.0,1400000.0
bangalore,panduranga nagar,built-up  area,1.0,1.0,0.0,500.0,semi-furnished,4.0,2000000.0
bangalore,abbigere,super built-up  area,1.0,2.0,2.0,765.0,furnished,5.0,3000000.0
bangalore,yeshwanthpur,super built-up  area,1.0,1.0,1.0,671.0,semi-furnished,1.0,3685000.0
bangalore,basaveshwara nagar yelahanka,super built-up  area,1.0,2.0,1.0,581.91,semi-furnished,4.0,2500000.0
bangalore,ramamurthy nagar,super built-up  area,1.0,1.0,1.0,360.0,semi-furnished,1.0,2600000.0
bangalore,whitefield,super built-up  area,1.0,1.0,1.0,950.0,unfurnished,3.0,5000000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,0.0,825.0,semi-furnished,5.0,3629000.0
bangalore,bannerghatta road,super built-up  area,1.0,1.0,1.0,595.0,semi-furnished,2.0,3183000.0
bangalore,kaveri nagar,super built-up  area,1.0,1.0,2.0,750.0,semi-furnished,0.0,2500000.0
bangalore,whitefield,super built-up  area,1.0,1.0,1.0,825.0,semi-furnished,4.0,4500000.0
bangalore,electronic city,super built-up  area,1.0,1.0,1.0,630.0,unfurnished,4.0,4700000.0
bangalore,upkar layout,built-up  area,1.0,1.0,1.0,1050.0,semi-furnished,2.0,7000000.0
bangalore,bommanahalli,built-up  area,1.0,1.0,1.0,515.0,semi-furnished,0.0,2500000.0
bangalore,kogilu,built-up  area,1.0,1.0,0.0,540.0,semi-furnished,5.0,3600000.0
bangalore,austin town,built-up  area,1.0,1.0,0.0,400.0,unfurnished,4.0,1400000.0
bangalore,balagere,super built-up  area,1.0,1.0,0.0,790.5,unfurnished,0.0,4190000.0
bangalore,yeshwanthpur,super built-up  area,1.0,1.0,1.0,668.0,unfurnished,0.0,3685000.0
bangalore,yelahanka new town,super built-up  area,1.0,2.0,1.0,960.0,semi-furnished,4.0,1800000.0
bangalore,thyagaraja nagar,plot  area,1.0,1.0,1.0,800.0,semi-furnished,0.0,10000000.0
bangalore,attibele,built-up  area,1.0,1.0,1.0,395.0,furnished,1.0,1025000.0
bangalore,cox town,super built-up  area,1.0,1.0,1.0,605.0,semi-furnished,2.0,2900000.0
bangalore,basavangudi,built-up  area,1.0,1.0,0.0,600.0,furnished,2.0,9750000.0
bangalore,kr puram,built-up  area,1.0,1.0,1.0,714.0,furnished,3.0,2800000.0
bangalore,sri balaji krupa layout,built-up  area,1.0,1.0,0.0,600.0,semi-furnished,0.0,3200000.0
bangalore,tumkur road,super built-up  area,1.0,1.0,0.0,700.0,semi-furnished,2.0,3009000.0
bangalore,thanisandra,super built-up  area,1.0,1.0,1.0,693.0,semi-furnished,2.0,3430000.0
bangalore,neeladri nagar,super built-up  area,1.0,1.0,1.0,674.0,semi-furnished,5.0,2100000.0
bangalore,chandapura,super built-up  area,1.0,1.0,0.0,590.0,semi-furnished,5.0,1357000.0
bangalore,chandapura,super built-up  area,1.0,1.0,1.0,645.0,semi-furnished,0.0,1645000.0
bangalore,thanisandra,super built-up  area,1.0,1.0,2.0,760.0,semi-furnished,4.0,5030000.0
bangalore,prestige sunrise,super built-up  area,1.0,1.0,1.0,700.0,unfurnished,3.0,4100000.0
bangalore,vijayanagar,super built-up  area,1.0,1.0,0.0,606.0,semi-furnished,3.0,3478000.0
bangalore,neeladri nagar,built-up  area,1.0,1.0,0.0,527.0,semi-furnished,3.0,2600000.0
bangalore,adityanagar,plot  area,1.0,1.0,0.0,1260.0,semi-furnished,1.0,4100000.0
bangalore,bds layout,plot  area,1.0,1.0,0.0,1500.0,furnished,5.0,3750000.0
bangalore,mysore highway,built-up  area,1.0,1.0,1.0,600.0,furnished,1.0,1700000.0
bangalore,binny pete,super built-up  area,1.0,1.0,1.0,660.0,unfurnished,5.0,5400000.0
bangalore,gottigere,plot  area,1.0,1.0,0.0,812.0,semi-furnished,1.0,2600000.0
bangalore,mahadevpura,super built-up  area,1.0,1.0,1.0,730.0,semi-furnished,1.0,3500000.0
bangalore,kaggalipura,super built-up  area,1.0,1.0,0.0,700.0,semi-furnished,5.0,3600000.0
bangalore,chandra layout,built-up  area,1.0,1.0,1.0,890.0,unfurnished,1.0,7500000.0
bangalore,abbigere,super built-up  area,1.0,1.0,0.0,734.0,semi-furnished,1.0,1982000.0
bangalore,chandapura,super built-up  area,1.0,1.0,0.0,630.0,semi-furnished,3.0,1386000.0
bangalore,kurubarahalli,plot  area,1.0,1.0,0.0,800.0,semi-furnished,0.0,5200000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,1.0,525.0,semi-furnished,4.0,2500000.0
bangalore,sankeswari,plot  area,1.0,1.0,1.0,461.82,furnished,2.0,3170000.0
bangalore,sector 2 hsr layout,super built-up  area,1.0,1.0,1.0,794.0,semi-furnished,4.0,6000000.0
bangalore,hormavu,super built-up  area,1.0,2.0,1.0,1351.0,furnished,4.0,5300000.0
bangalore,raja rajeshwari nagar,super built-up  area,1.0,1.0,1.0,648.0,semi-furnished,1.0,3175000.0
bangalore,whitefield,built-up  area,1.0,1.0,1.0,905.0,semi-furnished,3.0,5500000.0
bangalore,raghuvanahalli,built-up  area,1.0,1.0,1.0,900.0,semi-furnished,2.0,3000000.0
bangalore,binny pete,super built-up  area,1.0,1.0,1.0,665.0,semi-furnished,3.0,4608000.0
bangalore,whitefield,super built-up  area,1.0,1.0,0.0,630.5,semi-furnished,5.0,3279000.0
bangalore,hosa road,super built-up  area,1.0,1.0,1.0,615.0,furnished,2.0,2829000.0
bangalore,hosur road,super built-up  area,1.0,1.0,1.0,460.0,semi-furnished,0.0,2100000.0
bangalore,2nd phase judicial layout,super built-up  area,1.0,1.0,1.0,525.0,semi-furnished,5.0,2600000.0
bangalore,yeshwanthpur,super built-up  area,1.0,1.0,1.0,673.0,semi-furnished,2.0,3685000.0
bangalore,yelahanka new town,super built-up  area,1.0,1.0,1.0,650.0,semi-furnished,4.0,2000000.0
bangalore,budigere,super built-up  area,1.0,1.0,1.0,664.0,unfurnished,1.0,3500000.0
bangalore,thanisandra,plot  area,1.0,1.0,1.0,1380.0,semi-furnished,2.0,6210000.0
bangalore,vinayak nagar,built-up  area,1.0,1.0,2.0,705.0,furnished,5.0,3650000.0
bangalore,sarjapur  road,super built-up  area,1.0,1.0,1.0,685.0,unfurnished,3.0,4000000.0
bangalore,adityanagar,plot  area,1.0,1.0,1.0,1260.0,semi-furnished,1.0,4100000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,1.0,525.0,semi-furnished,5.0,3000000.0
bangalore,bagalakunte,built-up  area,1.0,1.0,1.0,700.0,semi-furnished,5.0,16200000.0
bangalore,kundalahalli,built-up  area,1.0,1.0,0.0,2400.0,semi-furnished,2.0,65000000.0
bangalore,thanisandra,super built-up  area,1.0,1.0,1.0,923.0,furnished,2.0,6084000.0
bangalore,indira nagar,built-up  area,1.0,1.0,0.0,500.0,semi-furnished,5.0,7000000.0
bangalore,attibele,built-up  area,1.0,1.0,1.0,420.0,furnished,3.0,1700000.0
bangalore,binny pete,super built-up  area,1.0,1.0,1.0,660.0,semi-furnished,1.0,6200000.0
bangalore,venkatadri layout,built-up  area,1.0,1.0,1.0,596.0,semi-furnished,1.0,4200000.0
bangalore,thippasandra,super built-up  area,1.0,1.0,0.0,650.0,furnished,5.0,3000000.0
bangalore,nagarbhavi,built-up  area,1.0,1.0,0.0,900.0,semi-furnished,0.0,17500000.0
bangalore,roopena agrahara,super built-up  area,1.0,1.0,1.0,910.0,semi-furnished,1.0,4200000.0
bangalore,sector 2 hsr layout,super built-up  area,1.0,1.0,2.0,794.0,furnished,4.0,6500000.0
bangalore,kanakpura road,super built-up  area,1.0,1.0,1.0,525.0,furnished,2.0,3000000.0
bangalore,celebrity paradise layout,built-up  area,1.0,1.0,1.0,532.0,semi-furnished,4.0,2249000.0
bangalore,electronic city,built-up  area,1.0,1.0,1.0,700.0,semi-furnished,5.0,3500000.0
bangalore,doddathoguru,super built-up  area,1.0,1.0,1.0,550.0,semi-furnished,5.0,1700000.0
bangalore,yelahanka new town,built-up  area,1.0,1.0,1.0,350.0,semi-furnished,2.0,1350000.0
