city,location,locality_type,BHK,bathroom,balcony,total_sqft,furnishing,parking,price
,,,,,,,,,
Bangalore,Kengeri,Built-up  Area,1,1,1,600,Semi-Furnished,2,1500000
Bangalore,Ganga Nagar,Super built-up  Area,1,1,0,600,Semi-Furnished,2,3800000
Bangalore,Yelahanka,Plot  Area,1,1,0,660,Semi-Furnished,0,4800000
Bangalore,Attibele,Super built-up  Area,1,1,1,450,Semi-Furnished,4,1100000
Bangalore,Nagavara,Plot  Area,1,1,0,400,Semi-Furnished,0,1400000
Bangalore,Malleshwaram,Super built-up  Area,1,1,2,705,Semi-Furnished,1,6700000
Bangalore,Electronic City,Super built-up  Area,1,1,1,589,Furnished,4,2700000
Bangalore,Chandapura,Super built-up  Area,1,1,1,645,Furnished,4,1645000
Bangalore,Chandapura,Super built-up  Area,1,1,1,645,Semi-Furnished,5,1645000
Bangalore,Kanakpura Road,Super built-up  Area,1,1,1,525,Semi-Furnished,3,2600000
Bangalore,Kanakpura Road,Super built-up  Area,1,,,525,Semi-Furnished,0,2153000
Bangalore,Electronic City Phase II,Super built-up  Area,1,1,1,630,Semi-Furnished,2,2835000
Bangalore,Bannerghatta Road,Built-up  Area,1,1,1,500,Semi-Furnished,0,1850000
Bangalore,Chandapura,Super built-up  Area,1,1,0,530,Semi-Furnished,4,1166000
Bangalore,8th Phase JP Nagar,Super built-up  Area,1,1,0,451,Semi-Furnished,2,2990000
Bangalore,Kengeri,Super built-up  Area,1,1,0,34.46Sq. Meter,Semi-Furnished,0,1850000
Bangalore,Electronic City,Built-up  Area,1,1,1,630,Semi-Furnished,4,3465000
Bangalore,Shampura,Built-up  Area,1,2,0,375,Unfurnished,3,2600000
Bangalore,Medahalli,Built-up  Area,1,1,0,700,Unfurnished,5,4100000
Bangalore,Ittamadu,Built-up  Area,1,2,0,1200,Semi-Furnished,0,8500000
Bangalore,Kanakpura Road,Super built-up  Area,1,1,1,525,Furnished,2,2725000
Bangalore,Bannerghatta Road,Super built-up  Area,1,1,1,595,Furnished,1,3332000
Bangalore,Byatarayanapura,Built-up  Area,1,1,1,540,Furnished,5,3600000
Bangalore,Hormavu,Super built-up  Area,1,1,2,715,Semi-Furnished,4,4600000
Bangalore,Venkatapura,Super built-up  Area,1,1,1,416,Unfurnished,1,1850000
Bangalore,Hosapalya,Super built-up  Area,1,1,0,600,Semi-Furnished,4,9000000
Bangalore,Ashwini layout,Built-up  Area,1,1,1,834,Semi-Furnished,3,6000000
Bangalore,Kanakapura,Super built-up  Area,1,1,1,711,Semi-Furnished,2,3600000
Bangalore,Jalahalli West,Super built-up  Area,1,1,0,469,Unfurnished,5,2500000
Bangalore,Jalahalli East,Super built-up  Area,1,1,2,750,Furnished,0,4000000
Bangalore,Sulthangunta,Plot  Area,1,1,0,600,Unfurnished,1,5000000
Bangalore,P&T Colony,Built-up  Area,1,1,0,425,Semi-Furnished,4,2003000
Bangalore,Chelekare,Plot  Area,1,1,1,600,Semi-Furnished,0,6000000
Bangalore,Yeshwanthpur,Super built-up  Area,1,1,1,667,Unfurnished,3,3685000
Bangalore,Basavanagara,Built-up  Area,1,2,1,1000Sq. Meter,Semi-Furnished,5,9300000
Bangalore,Yelahanka New Town,Built-up  Area,1,1,2,650,Semi-Furnished,4,3300000
Bangalore,Kanakpura Road,Super built-up  Area,1,1,1,525,Semi-Furnished,0,3000000
Bangalore,Electronic City Phase II,Super built-up  Area,1,1,1,630,Furnished,4,4000000
Bangalore,Chandapura,Super built-up  Area,1,1,0,520 - 645,Semi-Furnished,2,1513500
Bangalore,Varthur,Plot  Area,1,1,1,1000,Unfurnished,2,7000000
Bangalore,Kengeri Satellite Town,Super built-up  Area,1,1,1,930,Semi-Furnished,4,3000000
Bangalore,Kanakpura Road,Super built-up  Area,1,1,1,525,Furnished,3,2600000
Bangalore,BAGUR,Super built-up  Area,1,1,1,686,Semi-Furnished,4,1700000
Bangalore,Byatarayanapura,Super built-up  Area,1,1,0,1300,Semi-Furnished,1,20000000
Bangalore,Attibele,Built-up  Area,1,1,1,400,Semi-Furnished,3,1100000
Bangalore,Kammasandra,Super built-up  Area,1,1,0,650 - 665,Semi-Furnished,0,1841000
Bangalore,Alur,Built-up  Area,1,1,1,530,Semi-Furnished,1,2000000
Bangalore,Sarjapur,Super built-up  Area,1,1,0,633 - 666,Semi-Furnished,1,1753500
Bangalore,Yeshwanthpur,Super built-up  Area,1,1,1,665,Semi-Furnished,4,3685000
Bangalore,Chikkabanavar,Plot  Area,1,1,0,1200,Semi-Furnished,5,2000000
Bangalore,Raja Rajeshwari Nagar,Super built-up  Area,1,1,1,600,Semi-Furnished,0,2200000
Bangalore,Attibele,Built-up  Area,1,1,1,400,Semi-Furnished,5,1200000
Bangalore,Marathi Layout,Plot  Area,1,1,0,5.31Acres,Unfurnished,0,11000000
Bangalore,Weavers Colony,Carpet  Area,1,1,0,15,Unfurnished,4,3000000
Bangalore,KR Layout,Super built-up  Area,1,1,1,950,Semi-Furnished,5,4000000
Bangalore,Kanakapura,Super built-up  Area,1,1,1,711,Furnished,1,3800000
Bangalore,Ananth Nagar,Super built-up  Area,1,1,1,500,Semi-Furnished,4,1400000
Bangalore,Kacharakanahalli,Plot  Area,1,1,0,750,Furnished,0,5625000
Bangalore,Kaggalipura,Super built-up  Area,1,1,0,700,Semi-Furnished,4,3800000
Bangalore,Yelahanka,Super built-up  Area,1,1,0,697,Semi-Furnished,4,4500000
Bangalore,Sarjapur  Road,Built-up  Area,1,1,1,710,Semi-Furnished,1,2700000
Bangalore,Cooke Town,Built-up  Area,1,1,1,565,Furnished,0,3500000
